Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"7103-1","Star Wars","Episode II",2002,"Jedi Duel",2,82,8.99,10,,,5702014151802,673419010269,19.2,14.4,4.8,,"",1,1,0,,,,,,,,,127.4800,46.4800,"23/04/2002","31/12/2003"
"7110-1","Star Wars","Episode IV",1999,"Landspeeder",2,49,,6,,,5702012002649,042884071103,14.4,9.6,4.8,,"",1,1,0,,,,,,,,,78.9800,24.6000,"22/02/1999","31/12/2000"
"7115-1","Star Wars","Episode I",2000,"Gungan Patrol",2,77,,10,,,5702012006456,042884071158,24,14.4,4.8,,"",1,1,0,,,,,,,,,85.0400,41.6000,"01/01/2000","31/12/2001"
"7127-1","Star Wars","Episode VI",2001,"Imperial AT-ST",1,107,8.99,10,,,5702012012556,042884071271,14.4,19.2,4.8,,"",1,1,0,,,,,,,,,70.0000,24.3700,"01/01/2001","31/12/2002"
"7133-1","Star Wars","Episode II",2002,"Bounty Hunter Pursuit",3,259,27.99,30,,,5702014151826,673419010283,28.8,28.8,4.8,,"",1,1,0,,,,,,,,,409.1900,155.8900,"23/04/2002","31/12/2003"
"7134-1","Star Wars","Episode VI",2000,"A-wing Fighter",2,125,,15,,,5702012006470,042884071349,19.2,19.2,6,,"",1,1,0,,,,,,,,,101.9100,23.2900,"01/01/2000","31/12/2001"
"7139-1","Star Wars","Episode VI",2002,"Ewok Attack",4,121,10.99,13,,,5702014151758,673419010214,19.2,19.2,4.8,,"",1,1,0,,,,,,,,,89.6000,34.7300,"01/01/2002","31/12/2003"
"7143-1","Star Wars","Episode II",2002,"Jedi Starfighter",1,138,17.99,20,,,5702014151833,673419010290,28.8,19.2,4.8,,"",1,1,0,,,,,,,,,139.6700,33.1300,"18/03/2002","31/12/2003"
"7151-1","Star Wars","Episode I",1999,"Sith Infiltrator",1,244,,30,,,5702012003134,,33.6,24,7.2,,"",1,1,0,,,,,,,,,125.1800,38.3200,"01/04/1999","31/12/2000"
"7200-1","Star Wars","Episode VI",2002,"Final Duel I",2,29,5.99,7,,,5702014151765,673419010221,14.4,14.4,3.9,,"",1,1,0,,,,,,,,,90.6700,30.9300,"01/01/2002","31/12/2003"
"7203-1","Star Wars","Episode I",2002,"Jedi Defense I",3,59,5.99,7,,,5702014151789,673419010245,14.4,14.4,3.9,,"",1,1,0,,,,,,,,,94.2800,31.9800,"01/01/2002","31/12/2003"
"7204-1","Star Wars","Episode I",2002,"Jedi Defense II",3,53,5.99,7,,,5702014151796,673419010252,14.4,14.4,3.9,,"",1,1,0,,,,,,,,,88.0500,32.0400,"01/01/2002","31/12/2002"
"7239-1","City","Fire",2005,"Fire Truck",2,214,14.99,22.99,29.99,,5702014428850,673419058049,38.4,19.2,7.2,0.44,"",1,1,0,,,,,,,,,50.6200,11.5400,"",""
"7240-1","City","Fire",2005,"Fire Station",3,260,19.99,30,,,5702014428867,673419058056,38.4,28.8,9.6,0.85,"",1,1,0,,,,,,,,,76.7800,26.9800,"",""
"7256-1","Star Wars","Episode III",2005,"Jedi Starfighter and Vulture Droid",1,202,14.99,20,,,5702014426207,673419057219,28.8,19.2,7.2,0.34,"",1,1,0,,,,,,,,,161.1300,33.6200,"01/02/2005","31/12/2006"
"7259-1","Star Wars","Episode III",2005,"ARC-170 Fighter",4,396,29.99,40,,,5702014426238,673419057240,43.2,28.8,6,0.7,"",1,1,0,,,,,,,,,305.2200,104.8800,"01/03/2005","31/12/2006"
"7294-1","Dino 2010","",2005,"Dino Quad",1,39,2.99,,,,5702014466821,,14.4,9.6,4.8,,"",1,1,0,,,,,,,,,39.4400,9.1200,"01/10/2005","31/12/2006"
"7314-1","Space","Life On Mars",2001,"Recon Mech RP",1,194,17.99,20,,,,,28.8,19.2,4.8,,"",1,1,0,,,,,,,,,67.5000,35.5000,"01/01/2001","31/03/2002"
"7595-1","Toy Story","Original Film",2010,"Army Men on Patrol",4,90,9.99,10.99,14.99,,5702014602908,673419130974,19.1,14.1,6.1,0.12,"",1,1,0,,,,,,,,,45.8900,27.8000,"01/01/2010","31/05/2011"
"7622-1","Indiana Jones","Raiders of the Lost Ark",2008,"Race for the Stolen Treasure",4,272,26.45,29.99,,,5702014518315,673419102964,38.4,28.8,4.8,0.53,"",1,1,0,,,,,,,,,233.9400,100.3000,"01/01/2008","31/07/2009"
"7624-1","Indiana Jones","Kingdom of the Crystal Skull",2008,"Jungle Duel",3,90,8.79,9.99,,,5702014518339,673419102988,24,14.4,4.8,0.12,"",1,1,0,,,,,,,,,75.3600,39.5500,"01/05/2008","31/07/2009"
"7687-1","City","Seasonal",2009,"LEGO City Advent Calendar",9,257,19.55,29.99,,,5702014534568,673419112543,38.2,26.2,7.05,0.4,"",1,1,0,,,,,,,,,33.4600,18.0000,"",""
"7700-1","Exo-Force","",2006,"Stealth Hunter",1,164,9.99,14.99,,,5702014467743,,19.2,28.8,4.8,,"",1,1,0,,,,,,,,,79.4100,32.2500,"01/01/2006","31/12/2006"
"7701-1","Exo-Force","",2006,"Grand Titan",1,196,9.99,15,,,5702014467750,,19.2,28.8,4.8,,"",1,1,0,,,,,,,,,89.3100,28.7000,"01/01/2006","31/12/2006"
"7705-1","Exo-Force","",2006,"Gate Assault",5,402,19.99,30,,,,673419079037,38.4,28.8,6,0.73,"",1,1,0,,,,,,,,,127.8000,95.6700,"01/01/2006","31/12/2006"
"7773-1","Aqua Raiders","",2007,"Tiger Shark Attack",2,339,19.99,29.99,,,,673419091428,38.4,28.8,4.8,0.54,"",1,1,0,,,,,,,,,51.1300,29.2600,"",""
"7781-1","Batman","",2006,"The Batmobile: Two-Face's Escape",3,386,24.99,29.99,,,5702014469983,673419080514,38.4,28.8,6,0.69,"",1,1,0,,,,,,,,,305.4600,144.6400,"01/04/2006","31/12/2007"
"7906-1","City","Fire",2007,"Fireboat",3,187,35.99,34.99,,,5702014498884,673419090889,48,28.8,7.2,0.77,"",1,1,0,,,,,,,,,85.5100,31.6700,"01/03/2007","31/07/2008"
"8009-1","Star Wars","Technic",2002,"R2-D2",,240,17.99,20,,,,673419010351,19.2,28.8,4.8,,"",1,1,0,,,,,,,,,67.5000,15.9600,"01/01/2002","31/12/2003"
"8095-1","Star Wars","The Clone Wars",2010,"General Grievous' Starfighter",3,454,45.99,49.99,69.99,,,673419129107,48.01,28.19,6.1,0.78,"",1,1,0,,,,,,,,,136.5000,53.0100,"01/06/2010","31/07/2012"
"8108-1","Exo-Force","Golden City",2007,"Mobile Devastator",13,1009,59.99,89.99,,,,673419091220,65.2,38.4,9.6,2.11,"",1,1,0,,,,,,,,,232.2700,134.5800,"01/06/2007","31/12/2007"
"8158-1","Racers","Speed Racer",2008,"Speed Racer & Snake Oiler",2,242,12.69,19.99,,,5702014521315,673419103824,28.8,28.8,6,0.46,"",1,1,0,,,,,,,,,82.9000,65.4600,"01/04/2008","31/12/2008"
"8159-1","Racers","Speed Racer",2008,"Racer X & Taejo Togokhan",2,237,12.69,19.99,,,5702014521322,673419103794,28.8,28.8,6,0.45,"",1,1,0,,,,,,,,,71.0400,30.3100,"01/04/2008","31/12/2008"
"8531-1","Bionicle","Toa Mata",2001,"Pohatu",,49,4.99,7,,,,042884085315,8.8,18.7,8.8,,"",1,1,0,,,,,,,,,111.8900,19.4500,"01/02/2001","30/06/2002"
"8532-1","Bionicle","Toa Mata",2001,"Onua",,30,4.99,7,,,,042884085322,8.8,18.7,8.8,,"",1,1,0,,,,,,,,,99.9400,16.1500,"01/08/2001","30/06/2002"
"8533-1","Bionicle","Toa Mata",2001,"Gali",,35,4.99,7,,,,042884085339,8.8,18.7,8.8,,"",1,1,0,,,,,,,,,115.9000,17.1000,"01/02/2001","30/06/2002"
"8534-1","Bionicle","Toa Mata",2001,"Tahu",,33,4.99,7,,,,042884085346,8.8,18.8,8.8,,"",1,1,0,,,,,,,,,212.5800,24.6600,"01/02/2001","30/06/2002"
"8535-1","Bionicle","Toa Mata",2001,"Lewa",,36,4.99,7,,,,042884085353,8.8,18.8,8.8,,"",1,1,0,,,,,,,,,136.2200,19.9100,"01/02/2001","30/06/2002"
"8536-1","Bionicle","Toa Mata",2001,"Kopaka",,33,4.99,7,,,,042884085360,8.8,18.8,8.8,,"",1,1,0,,,,,,,,,144.1600,21.2800,"01/02/2001","30/06/2002"
"8537-1","Bionicle","Rahi",2001,"Nui-Rama",,146,10.99,15,,,,,14.4,24,6,,"",1,1,0,,,,,,,,,179.5000,42.2200,"01/08/2001","31/12/2002"
"8560-1","Bionicle","Bohrok",2002,"Pahrak",,41,4.99,8,,,,673419015561,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,61.8100,13.6600,"01/03/2002","31/12/2002"
"8561-1","Bionicle","Bohrok",2002,"Nuhvok",,41,4.99,8,,,5702014265707,673419015578,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,62.9000,13.6600,"01/03/2002","31/12/2002"
"8562-1","Bionicle","Bohrok",2002,"Gahlok",,41,4.99,8,,,5702014152748,673419015585,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,60.6600,13.5500,"01/03/2002","31/12/2002"
"8563-1","Bionicle","Bohrok",2002,"Tahnok",,41,4.99,8,,,,673419011167,10.9,15.7,8.8,,"",1,1,0,,,,,,,,,97.2100,15.2800,"01/03/2002","31/12/2002"
